id,title,date,time,location,category,price,image,description,organizer,capacity,registered,link1,link2,link3,created_at,updated_at,image_file,password,link_name1,link_name2,link_name3,start_date,end_date,image_thumbnail,image_medium,image_full,organizer_name,organizer_phone,video_url,event_dates,location_link,contact,show_title_on_billboard,storage_path,genre,image_position_x,image_position_y,image_micro,user_id,venue_id,venue_name,venue_custom_link,scope,views,address,group_id
205,"원포인트 팀원 모집합니다!",2026-01-06,,"리듬앤조이 연습실",class,,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/full/1766607608214_2vnu4vvyoy7.webp,"문탄&원츄 원포인트에서 팀원을 모집합니다 (1.6~)

🎯 Season 17 | Bounce & Step


🔁 수업 방식
👉 한 가지 주제 집중 반복 연습
👉 매주 영상 촬영 + 피드백
👉 눈으로 외우는 수업 ❌
👉 몸으로 익히는 연습 ⭕


📅 일정 및 장소
📆 일정: 1월 6, 13, 20, 27일 (총 4주)
📍 장소: 사당 리듬앤조이 A홀
⏰ 시간: 20:00 - 23:00

📞 문의: 010-6749-2486 또는 카카오톡 miztana
인스타 : https://www.instagram.com/onepoint_lindyhop",익명,,0,https://forms.gle/UKLe7y775A9yvnTVA,,,"2025-12-19 05:28:50.57+00","2025-12-19 05:28:50.701688+00",,"",신청!,,,2026-01-06,2026-01-06,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/thumbnail/1766607608214_2vnu4vvyoy7.webp,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/medium/1766607608214_2vnu4vvyoy7.webp,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/full/1766607608214_2vnu4vvyoy7.webp,,,"",,"",,t,,팀원모집,0,0,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/micro/1766122129757_d1lu4qbdydt.webp,deed9a62-7a4b-491d-bdca-36bf671c9357,242b2bd1-d3a5-442f-b886-1e1d38a6edf8,"리듬앤조이 연습실",,domestic,4,,
216,"칼요의 솔로재즈 베이직 <초중급>",2026-01-29,,라코네,class,,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/full/1766642858258_f48tsrqq9d.webp,"안녕하세요, 칼요입니다!

혼자 고민하며, 동료들과 땀 흘리며, 여러 수강생들을 만나오며 쌓아온
저만의 소소한 팁을 나누는 시간을 마련했습니다.



😲

음악은 들리고 표현은 하고 싶은데.... 어떻게 시작해야할지 고민되는 분들...


🚨

배우긴 배운 동작인데.. 이게 맞나? 좀더 정확하고 움직이고 싶은 분들...


🎯

오래 춰왔지만 기본기를 좀더 탄탄하게 다지고 싶은 분들...
✨초심자로서 재즈 베이직을 다지고 싶은 모든 분들께 추천드립니다.

---------------------------------------------------------------------------------------------------------------------------------------

< JUMPIN' AT SHINCHON  > JAZZ BASIC WITH KARYO 
점핑 앳 신촌 : 칼요의 솔로재즈 <초급>반

✅일시: 2026년 1월 8일 & 15일  (목요일)
✅장소: 신촌 라코네 B 
✅시간: 20:00~22:00 (강습) & 22:00~23:00 (자율연습 및 개별코칭)

1월 커리큘럼 
새해를 차분하게, 흥겹게. 다양한 무드로 시작해 보아요!
첫 주차는 느긋하게, 둘째 주는 신나게. Slow & Medium tempo의 두 곡에
다양한 재즈무브가 녹아있는 루틴을 배우는 시간입니다. 루틴에서 시작해 베이직까지 다져보는 시간입니다.

💜 수업은  Warm-up → Basic → Variation → Routine   순으로 진행합니다.
💜 수업 난이도는 재즈라인인 Shim Sham, Tranky Doo수준에서
신청한 수강생의 레벨에 따라 강사 재량으로 조정될 수 있습니다.
 
---------------------------------------------------------------------------------------------------------------------------------------

< JUMPIN' AT SHINCHON  > JAZZ BASIC WITH KARYO 
점핑 앳 신촌 : 칼요의 솔로재즈 <초중급>반

✅일시: 2026년 1월 29일 & 2월 5일  (목요일)
✅장소: 신촌 라코네 B 
✅시간: 20:00~22:00 (강습) & 22:00~23:00 (자율연습 및 개별코칭)

1&2월 커리큘럼 
재즈 베이직을 기반으로 음악표현과 리듬표현에 포커싱합니다.
음악을 듣는 방법, 음악을 표현할 때 필요한 테크닉, 음악 안에서 자신의 그루브를 찾아봅시다!

💜



수업은 

Warm-up → Music analysis → Drills → Routine   순으로 진행합니다.
💜 수업 난이도는 재즈라인인 Shim Sham, Tranky Doo수준에서
신청한 수강생의 레벨에 따라 강사 재량으로 조정될 수 있습니다.",익명,,0,https://forms.gle/fmrgKi6vrnx3sWEJ6,,,"2025-12-20 04:45:06.283+00","2025-12-20 04:45:06.735805+00",,"","신청 링크",,,2026-01-29,2026-01-29,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/thumbnail/1766642858258_f48tsrqq9d.webp,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/medium/1766642858258_f48tsrqq9d.webp,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/full/1766642858258_f48tsrqq9d.webp,,,"",[],"",,t,,솔로재즈,0,0,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/micro/1766642858258_f48tsrqq9d.webp,c9171c5e-1f91-48a6-a2e3-4d991934fcc0,8f1a10cb-1eb1-42a8-8f04-93e499373db2,라코네,,domestic,32,,
52,제주스윙캠프,2025-10-24,19:00,제주도,event,Free,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/full/554318669_1344811240986287_4007432261185289336_n_1760364609358_full.jpg,"","",50,0,https://www.jejuswingcamp.com/,,,"2025-10-06 09:20:47.29+00","2025-10-06 09:20:47.73244+00",,1111,공식사이트,,,2025-10-24,2025-10-26,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/thumbnail/554318669_1344811240986287_4007432261185289336_n_1760364609358_thumb.jpg,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/medium/554318669_1344811240986287_4007432261185289336_n_1760364609358_medium.jpg,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/full/554318669_1344811240986287_4007432261185289336_n_1760364609358_full.jpg,,,"",,"",,t,,파티,0,0,,,,,,domestic,0,,
84,"[11/2~] 진 루비의 린디합팀 엔에잇에서 추가 팀원을 모집합니다.",2025-12-02,00:00,"빅애플 스윙바",class,Free,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/full/1765652821707_lv7vo78g6b.webp,"N8 시즌 15 대 모집
진&루비와 함께 성장해 나아갈
린디합 연습팀 멤버를 모집합니다.


연습은 하고 싶지만 어떻게 해야 할 지 모르겠고,
연습은 하고 싶지만 같이 할 사람이 없는
바로 당신을 위해 저희가 기다립니다.

단순한 듣고 끝나는 수업이 아니라
지속적인 연습 스케줄과 커리큘럼으로
당신의 춤이 꾸준히 성장 할 수 있는
토대를 마련해드립니다.

당신의 장점과 단점을 분석하여
그에 맞는 연습과 1:1피드백으로
자신의 색깔을 가진 댄서로 성장 할 수 있도록
하드 캐리해 드립니다.


📌 모집대상 : 동호회에서 정규기초수업을 이수한 1년 이상경력의 댄서
                          *1년 미만은 개별 문의 주세요.

📌 강습일정 및 시간 : 주1회 강습 및 트레이닝,  1회 자율연습 진행
      - 매주 일요일 12:00~15:00 트레이닝
          (2시간 수업 1시간 개별연습&티칭)
      - 11월 2, 9, 16, 23 / 12월 14, 21, 28
      - 해당 금요일 자율연습  
       *하 단의 일정 캘린더 참조 

📌 장소 : 정규강습 - THE BIG APPLE(남부터미널 소재 뉴빅애플)
                 자율연습 - 사당 더 그라운즈  


","",50,0,https://forms.gle/3zms7PoiFAyrNRoE9,,,"2025-10-21 15:46:43.783+00","2025-11-30 13:49:06.3+00",,1111,신청링크,,,2025-12-02,2025-12-02,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/thumbnail/1765652821707_lv7vo78g6b.webp,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/medium/1765652821707_lv7vo78g6b.webp,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/full/1765652821707_lv7vo78g6b.webp,관리자,0000000000,"",[],"",,t,,팀원모집,0,0,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/micro/1765652821707_lv7vo78g6b.webp,,5367979a-a042-4729-a94c-73465d95f577,"빅애플 스윙바",,domestic,0,,
109,"제리&빨강구두 팀‘써니업’ 시즌3 멤버 모집!",2025-11-24,00:00,"리듬앤조이 연습실",class,Free,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/full/1766613467782_rh8e7tndr7j.webp,"제리 & 빨강구두의 린디합 팀 ‘써니업’ 시즌3!
새로운 팀 멤버를 모집합니다.
현재 팔뤄만 신청 가능합니다.","",50,0,"",,,"2025-11-11 07:25:59.59+00","2025-11-30 13:55:48.61+00",,1108,"",,,2025-11-24,2025-11-24,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/thumbnail/1766613467782_rh8e7tndr7j.webp,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/medium/1766613467782_rh8e7tndr7j.webp,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/full/1766613467782_rh8e7tndr7j.webp,빨강구두,01040728876,"",[],"","인스타 koodoo_amy , jerryjeon",t,,팀원모집,0,0,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/micro/1766613467782_rh8e7tndr7j.webp,,242b2bd1-d3a5-442f-b886-1e1d38a6edf8,"리듬앤조이 연습실",,domestic,0,,
55,"견우&뽈의 'Lindyhop Basic Clinics' 강습",2025-10-13,20:00,"",class,Free,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/1759743718758.png,"견우&뽈의 'Lindyhop Basic Clinics' 강습

* 10월 13일, 20일, 27일 20:00~22:30 (2시간 강습 후 30분 개별연습&피드백)
* 장소 : 신촌
* 대상 : 스윙아웃 가능자

내 춤 왜? 불편하고 재미가 없을까? 도대체 뭘 잘못하고 있는걸까?
춤을 좀 쉬었는데 다시 시작하고 싶거나 동호회가 불편한 분들?

동호회 강습으론 듣기 힘든 조금더 심도있는 견우&뽈의 AtoZ 베이직 노하우를 알려드립니다.
'Bounce, Stretch, Momentum'을 아우르는 당신이 몰랐던 '알찬 시크릿 베이직!!'

강습 후 쪽집게쌤과 1:1연습, 질문, 맞춤피드백으로 다 까먹기 전에 몸에 스며들게 해봅시다.
강습생의 속도, 질문 등에 따라 견뽈의 매달 입맛대로 먹여주는 베이직 오마카세 강습 및 연습방법이 준비됩니다.
스윙아웃이 가능한 분이면 누구나 수강가능합니다. 

멋진 패턴이나 스타일링이 안되는 이유도 결국 베이직!
맨날 똑같은 내 춤!! 이제 달라지게 정비해봐요!
춤이 달라졌다는 후기가 어마어마한 견뽈베 늦기전에 함께하세요 🙂
'하나를 알면 열이 달라집니다'

신청 - https://forms.gle/SNdStPm4ZZo1krJ5A

","",50,0,https://forms.gle/SNdStPm4ZZo1krJ5A,,,"2025-10-06 09:41:47.284+00","2025-10-06 09:41:47.383804+00",,1111,신청링크,,,2025-10-13,2025-10-13,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/1759743718758.png,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/1759743718758.png,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/1759743718758.png,,,,,,,t,,,0,0,,,,,,domestic,0,,
101,"뽈의 팔뤄들을 위한 '스위블 베이직' 강습~♪",2025-11-21,00:00,"",class,Free,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/full/1766613517011_b3sa4qsgj8m.webp,"날짜 : 11월 21일, 28일(금요일) 20:00~22:00
장소 : 신촌
대상 : 스윙아웃 가능자

그냥 따라하다간 밉고 아프기만한 스위블!
스텝부터 스윙아웃, 포워드 스윙아웃, 스위치 등과 팔쓰는 법까지 강습 후 연습&클리닉으로 제대로 배우고 제대로 연습해봐요!!

스위블을 처음 배우는 분이나 베이직을 다지기 위한 스위블 베이직 강습입니다.
스타일링이 아닌 뽈 스타일의 실전용 베이직 스위블을 알려드립니다. 리더없이 팔뤄 솔로트레이닝 강습입니다.


","",50,0,https://forms.gle/w55XYaVWz13cwmtT8,,,"2025-11-10 13:35:53.466+00","2025-11-23 17:44:06.936+00",,1,신청링크,,,2025-11-21,2025-11-28,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/thumbnail/1766613517011_b3sa4qsgj8m.webp,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/medium/1766613517011_b3sa4qsgj8m.webp,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/full/1766613517011_b3sa4qsgj8m.webp,관리자,111111,,"[""2025-11-21"", ""2025-11-28""]",,,t,,,0,0,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/micro/1766613517011_b3sa4qsgj8m.webp,,,,,domestic,0,,
59,"월간빅애플 Live",2025-10-13,19:00,빅애플,event,Free,"","🍁링크오픈 : 9월 29일 월요일 낮 1시 https://m.site.naver.com/1ODuW
신청 선착순 20명 깜짝 이벤트~~~

10.13.월, 청량한 가을 바람을 담은 월간빅애플 Live가 찾아옵니다🍁
제2회 월빅라 메인 주제는 ‘슬로우’입니다💙
최근 들어 다시 인기가 많아지고 있는 슬로우!
요즘 계절과도 잘 어울리는 것 같습니다🥰
​
지난 1회 라이브에 많은 분들의 신청에 힘입어,
한층 업그레이드 될 이번 라이브는 좀 더 
매력 있는 밴드 구성과 깜짝 이벤트도 준비 
중이니 많은 관심과 신청 부탁드립니다🫶

긴 명절로 찌뿌둥해진 몸, 일주일의 시작을
월빅 라이브에서 가볍게 풀어보세요!

🍁라이브 일자 : 2025.10.13. 월요일
🍁콘셉 : 어텀 브리즈
🍁템포 : 슬로우
🍁밴드 : 베이스, 기타, 색소폰, 트럼펫 + a

​
🍁워크숍 주제 : 가을 재즈 한 스텝, Autumn Slow Lindy
강사 : 시옷&피치봉
정원 : 20쌍


","",50,0,"https://m.site.naver.com/1ODuW [출처] (스윙스캔들 - 설레이는 스윙댄스 동호회) |작성자 가츠",,,"2025-10-06 13:23:12.5+00","2025-10-06 13:23:13.036637+00",,1111,신청링크,,,2025-10-13,2025-10-13,"","","",,,,,,,t,,,0,0,,,,,,domestic,0,,
53,"코리아 발보아 위크앤드",2025-11-14,19:00,미정,event,Free,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/full/1766613556366_q7dtazs1yx.webp,"",주최자,50,0,https://www.koreabalboa.com/,,,"2025-10-06 09:29:12.888+00","2025-11-30 14:05:57.384+00",,1111,공식홈페이지,,,2025-11-14,2025-11-16,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/thumbnail/1766613556366_q7dtazs1yx.webp,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/medium/1766613556366_q7dtazs1yx.webp,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/full/1766613556366_q7dtazs1yx.webp,관리자,0,,,,,t,,대회,0,0,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/micro/1766613556366_q7dtazs1yx.webp,,,,,domestic,0,,
654,"DJ 홍군 | 토요 소셜 (DJ 홍군)",2026-02-21,19:30,스윙타임,social,,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/1771536196628_rm8l9/full.webp,"토요 소셜
날짜: 2026년 2월 21일 (토)
DJ: 홍군 (20:15-22:15)
소셜 시작: 19:30",,,0,https://www.instagram.com/swingtimebar/,,,"2026-02-19 21:20:44.01173+00","2026-02-19 21:20:44.01173+00",,,스윙타임,,,2026-02-21,,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/1771536196628_rm8l9/thumbnail.webp,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/1771536196628_rm8l9/medium.webp,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/1771536196628_rm8l9/full.webp,,,,,,,t,event-posters/1771536196628_rm8l9,"DJ,소셜",0,0,https://mkoryudscamnopvxdelk.supabase.co/storage/v1/object/public/images/event-posters/1771536196628_rm8l9/micro.webp,b3c11164-3039-42f1-ae53-f0fb1952f969,f8fae3b6-ffac-4dbf-a0c2-1bd46618bac7,"스윙타임(선릉)",,domestic,8,,2
